sd,agb
36.68297911,26.3071
36.98485816,49.9251
36.94516223,48.7978
39.03907244,133.076
37.42136284,66.5866
43.90605507,233.264
36.62490225,22.2869
38.19574907,84.6698
37.3212084,61.3134
36.92795541,41.5663
36.7828498,34.4126
36.61653717,21.8098
45.87044289,45.729
38.05589532,79.6717
37.1272817,51.82
38.50182531,105.1634
37.24257155,56.7946
36.61177271,21.3195
43.90579884,234.327
39.2166595,138.881
38.24315071,88.0893
44.99857822,20.4003
37.84269297,74.2891
44.84800764,8.2287
37.90710771,77.256
36.76693419,15.18532
51.89748796,127.358
38.20542661,87.457
38.17226514,86.7423
38.59889584,108.889
37.22697098,55.8406
37.22794099,53.4217
37.34013252,62.9135
36.55062938,8.87564
45.11547191,26.3215
45.12761372,28.045
43.68089324,179.69
44.34452138,270.159
36.6929388,28.1883
38.28951471,91.6526
39.01301339,122.312
39.30304692,140.972
36.93657415,48.531
46.46151954,63.3861
45.72335725,42.7224
45.28874051,32.502
36.90986232,38.6518
36.55503577,13.76732
36.59198403,17.45645
48.37948255,85.5038
36.6498032,22.8579
36.60041549,20.6591
36.93657415,47.7911
36.63715131,23.437
39.33489298,142.469
43.63303331,205.232
43.78820407,219.555
38.97625581,122.822
43.72039801,185.97
44.83731076,6.32891
45.55025094,36.5517
42.55435926,159.578
36.55107382,9.14776
43.648728,202.075
45.12761372,28.8102
48.04850061,76.2897
36.93200799,39.8297
36.93697283,43.5362
36.61653717,21.563
43.80892291,220.903
37.90710771,77.1192
37.13414754,53.1831
47.21003526,70.7184
38.50182531,105.4559
36.7742254,30.3904
38.06380677,80.9401
45.62853899,38.3766
36.98910131,50.3096
36.92795541,41.5122
39.05315364,136.662
36.78074384,33.3968
36.79168233,35.5442
51.14326378,118.315
36.76693419,15.35322
38.30675988,92.5169
44.85630488,10.5264
38.78822395,108.705
37.21703901,53.1373
36.91615256,40.6386
48.68669125,88.9489
36.83663505,39.1304
46.02597621,48.0826
38.47383992,101.0811
46.15908392,51.2018
43.72065533,187.292
51.05360126,117.625
51.14326378,118.211
38.30675988,92.8058
37.41842006,66.1704
36.63873486,22.5332
50.9456222,115.412
37.31130153,57.928
36.98141473,47.832
36.92656409,45.9409
38.50239059,104.7847
36.58187967,15.34687
36.62455108,20.6328
62.82467996,223.043
48.40857295,86.6815
45.11767932,27.1955
47.78840518,74.2228
37.87012145,72.4006
36.58604478,15.51576
37.401495,63.5733
53.55812031,143.333
39.70221928,146.917
36.93200799,39.8627
36.57693051,13.72641
37.15005753,51.6443
36.57250435,12.55865
37.41842006,65.8108
37.41483374,65.2156
36.93200799,39.9419
38.05251632,76.5969
36.90986232,38.8209
38.46156829,101.4232
36.81478634,36.132
36.67289983,24.047
36.62118499,20.4535
37.03814473,48.664
36.61919548,20.3418
38.14948231,81.6122
37.80726222,70.5651
38.04617975,77.0283
36.61951669,19.9922
36.57807075,13.78571
43.52582415,164.68
38.05251632,75.9069
43.75866456,216.43
38.98709885,120.899
37.87012145,72.4259
39.66114711,146.023
36.55124808,9.256
37.51390835,66.8462
38.036273,75.4068
38.34392918,97.1322
37.23264375,54.2697
120.2913409,862.841
37.11959458,49.901
37.81901512,71.0538
38.4922223,102.477
36.57250435,13.48143
36.66886062,23.1607
43.66634383,192.513
36.70341814,27.326
36.90986232,38.84
37.21703901,53.1655
38.46422992,100.2542
38.23348272,85.6222
45.24199309,293.002
36.92656409,42.5972
39.29034764,137.964
36.56803612,11.77525
37.41842006,66.1057
37.24121762,56.9669
43.72065533,184.144
38.99499382,126.948
96.72498904,636.191
44.98397136,22.6938
43.75454638,214.889
39.28442142,140.547
38.9947327,126.355
37.00356398,48.3804
36.58187967,14.83935
38.76970743,109.458
36.56803612,11.92758
45.24199309,293.676
38.51983223,107.7826
36.77021383,29.4221
36.74229495,28.3226
37.59188609,69.0635
36.59031346,18.0666
36.63194133,21.7748
36.68639744,26.9266
38.80468884,111.217
36.68639744,26.384
36.92906569,42.7312
38.34392918,96.988
38.97625581,123.712
37.37074736,63.1546
43.68535132,207.856
38.76970743,109.117
36.92656409,45.4171
38.4900548,104.2482
36.68286224,25.496
38.34223803,100.5371
36.73294018,28.1675
36.58711578,16.52585
38.29819693,87.9908
43.63303331,205.628
37.36762131,62.9378
36.77069907,29.9049
42.60092519,157.389
38.29819693,88.0974
37.41842006,65.4328
37.87012145,73.7631
38.31300971,91.6963
37.34832826,61.1494
38.34392918,97.2243
36.63194133,21.7982
36.59481192,17.80973
36.94354595,44.8853
36.90606448,41.0356
50.38542846,106.821
51.73474214,124.72
47.78963095,73.4756
38.1655342,85.1486
38.13356555,83.8748
36.58905111,16.67368
36.58013663,14.29579
51.64331444,124.131
44.87524847,11.36549
37.19772052,56.5068
36.55503577,15.4342
37.43478542,70.1423
37.43478542,69.8163
37.72716175,69.9713
44.85188734,8.78786
37.13609164,53.9429
38.97844458,123.432
36.69955562,29.774
49.39539913,96.0609
36.69955562,30.3954
39.04125769,135.01
36.67800694,27.0754
36.78877649,34.6065
36.97554619,50.7655
37.31939666,63.0287
38.99499382,128.141
36.64872626,26.1345
37.9455704,78.9482
36.59656953,18.39929
36.9485888,43.7206
45.12761372,28.1548
38.25057472,89.8609
43.80328831,225.671
36.94314734,49.5696
36.55041838,8.482848
38.32899312,96.4168
37.15454652,55.424
36.6437782,24.9327
38.99014257,126.626
36.6437782,24.7978
