PLOT_ID,POINT_X,POINT_Y,AGB_T_HA,AVG_YEAR,SIZE_HA
EU2,-1.628645404,40.03843507,79.36663055,2003,0.196
EU2,-5.451322316,37.7412047,98.90005014,2007,0.196
EU2,-5.346196402,38.00466359,33.85739425,2006,0.196
EU2,-6.342766767,42.60086029,50.51135066,2002,0.196
EU2,0.155284743,41.07443978,33.55656002,2005,0.196
EU2,-4.331774307,42.17366786,32.73189224,2003,0.196
EU2,-4.510099358,41.52300587,6.271796974,2002,0.196
EU2,-4.971675583,39.30904759,30.18393295,2001,0.196
EU2,-5.570424391,40.13513446,71.0424743,2001,0.196
EU2,-5.238792242,40.04293438,40.02092052,2004,0.196
EU2,1.33100996,42.10621619,44.24961543,2001,0.196
EU2,-3.098362031,43.13592393,14.35790169,2005,0.196
EU2,-2.311004668,42.07125592,61.00681457,2004,0.196
EU2,-0.007160498,40.66539673,71.72236484,2006,0.196
EU2,-1.78114393,40.03113072,0,2003,0.196
EU2,-7.089993127,38.30993083,29.60852666,2002,0.196
EU2,-5.954176744,40.05391519,55.0240271,2001,0.196
EU2,-0.757604708,37.96163481,16.97231698,2006,0.196
EU2,-3.084688249,42.12733037,47.60766329,2003,0.196
EU2,-6.457319465,42.18022853,88.49611905,2002,0.196
EU2,-2.987971276,41.75809495,0,2004,0.196
EU2,1.461599873,42.20710576,63.49739462,2001,0.196
EU2,-5.938872776,40.51366884,91.4074979,2002,0.196
EU2,2.167845987,41.92620633,55.44447153,2001,0.196
EU2,-6.381142239,37.6655134,46.88612405,2007,0.196
EU2,2.115995997,42.18699853,32.49599247,2001,0.196
EU2,-1.462579563,40.12643881,25.69452818,2004,0.196
EU2,-6.315401648,37.91632827,77.09661642,2008,0.196
EU2,-0.948446651,42.34316009,13.74851387,2005,0.196
EU2,-5.121097774,40.02713293,37.31206392,2004,0.196
EU2,1.714519378,41.67885131,114.7379736,2000,0.196
EU2,0.171799161,40.96676975,33.53943935,2005,0.196
EU2,0.57475302,41.31820971,29.1396808,2000,0.196
EU2,-3.390929491,42.73908285,19.95599587,2003,0.196
EU2,-1.0408077,40.10205286,57.87326299,2004,0.196
EU2,0.109739122,41.29845906,34.57155367,2004,0.196
EU2,-1.806496477,38.55371211,58.64623853,2004,0.196
EU2,2.115367947,42.23202349,76.07876166,2001,0.196
EU2,-3.147595102,37.76661241,51.23146504,2006,0.196
EU2,-1.621545422,40.38969292,114.4862693,2005,0.196
EU2,1.358185794,42.45782653,115.8124667,2001,0.196
EU2,-5.853649085,37.87630743,29.62660093,2007,0.196
EU2,-0.94978515,40.3977472,34.15651282,2005,0.196
EU2,-0.626624135,42.50804274,46.86754609,2004,0.196
EU2,1.609677915,42.08291389,93.33334813,2001,0.196
EU2,2.57740107,42.00049559,50.01684135,2001,0.196
EU2,-0.50125297,40.1006727,39.94577735,2006,0.196
EU2,-5.047430961,41.46065344,26.88734862,2002,0.196
EU2,-6.803055672,42.68265545,33.93754708,2002,0.196
EU2,1.246265144,42.54622058,131.9601989,2001,0.196
EU2,1.118841654,42.32807257,38.91840025,2001,0.196
EU2,0.901238294,42.66648765,103.3811886,2001,0.196
EU2,-4.411839413,40.85771367,38.28877465,2003,0.196
EU2,2.014678649,41.69082371,8.538124734,2000,0.196
EU2,-6.462568924,40.82042435,44.81299813,2002,0.196
EU2,1.07912833,41.22866104,67.26455001,2000,0.196
EU2,-5.823357019,41.95753572,28.64124827,2002,0.196
EU2,-6.969769095,38.10966898,56.83654605,2008,0.196
EU2,-1.158198907,39.22107794,73.60918375,2006,0.196
EU2,2.551669337,42.22555275,67.02705373,2001,0.196
