Province,Estrato Florestal,id_parcela,Ycoordinate,Xcoordinate, Vt (m3_ha) , Vc (m3_ha) , AGB (ton_ha) , BGB (ton_ha) ,year,size
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0071764,-12.735917,38.429788,26.65,10.6,26.6,11.35,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0389983,-12.753454,39.36942,98.88,6.03,80.78,39.7,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0389982,-12.753456,39.368499,98.52,15.93,82.84,35.87,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0389984,-12.754359,39.369421,135.44,18.28,120.45,43.09,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0389981,-12.75436,39.3685,157.71,5.78,129.61,45.78,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0598733,-12.760866,39.995845,98.68,33.51,87.61,35.72,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0598732,-12.760869,39.994924,46.12,9.88,41.24,21.56,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0598734,-12.76177,39.995849,74.18,32.56,61.65,26.07,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0598731,-12.761773,39.994927,83.41,32.68,71.95,33.96,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",6243,-12.79629133,35.43091524,132.17,56.12,129.49,37.53,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",6242,-12.79629983,35.42999466,167.21,65.73,125.57,48.83,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",6244,-12.7971948,35.43092389,39.74,11.2,41.13,12.6,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",6241,-12.79720329,35.43000331,63.98,25.32,51.52,23.34,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0071672,-12.80735,38.428709,51.26,9.63,41.98,21.87,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0071673,-12.807352,38.42963,64.61,23.77,54.24,24.48,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0071671,-12.808254,38.428707,84.59,23.72,69.88,32.43,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0071674,-12.808256,38.429628,81.41,15.53,64.95,37,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0083292,-12.816469,38.465529,39.06,9.98,38.07,13.36,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0083293,-12.816471,38.466451,80.19,23.24,78.33,24.4,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0083291,-12.817373,38.465527,48.61,0.64,45.66,17.07,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0083294,-12.817375,38.466449,45.14,1.62,38.06,18.78,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0751733,-12.822064,40.447643,255.44,154.47,297.02,83.17,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0751732,-12.822069,40.446722,327.55,168.46,399.37,111.12,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0751734,-12.822968,40.447649,267.63,191.27,316.33,88.36,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0751731,-12.822973,40.446727,254.04,163.16,255.83,71.63,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0625933,-12.823766,40.079045,115.5,13.63,131.77,36.67,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0625932,-12.823769,40.078124,109.14,0,116.69,32.67,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0625934,-12.82467,40.079049,26.77,2.05,30.95,8.18,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0625931,-12.824673,40.078127,250.43,2.65,346.49,95.5,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0525043,-12.824914,39.774975,37.96,13.57,31.58,13.55,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0525042,-12.824917,39.774053,48.47,11.29,40.59,19.28,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0525044,-12.825818,39.774977,54.31,10.98,45.47,21.06,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0525041,-12.825821,39.774056,42.02,4.91,35.39,15.88,2016,0.1
Niassa,Floresta (semi-) sempreverde,6493,-12.82838326,35.84090863,103.57,52.1,110.38,33.01,2016,0.1
Niassa,Floresta (semi-) sempreverde,6492,-12.82839321,35.83998824,45.61,17.87,45.93,14.1,2016,0.1
Niassa,Floresta (semi-) sempreverde,6494,-12.82928643,35.84091878,81.77,51.66,83.55,25.36,2016,0.1
Niassa,Floresta (semi-) sempreverde,6491,-12.82929638,35.83999838,74.82,48.84,78.61,22.01,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0405503,-12.834768,39.415647,0,0,0,0,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0405502,-12.834769,39.414726,15.96,0.45,13.7,7.73,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0304233,-12.835069,39.111549,149.73,83.09,116.5,42.04,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0304232,-12.835069,39.110627,326.99,187.52,268.86,68.09,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0405504,-12.835672,39.415649,3.2,0,2.49,1.72,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0405501,-12.835673,39.414727,23.5,13.3,16.7,5.76,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0304234,-12.835973,39.111549,121.45,21.41,119.31,38.41,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0304231,-12.835973,39.110627,143.64,47,123.93,42.64,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0068822,-12.852569,38.41943,137.78,14.05,164.06,40.69,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0068823,-12.852571,38.420351,56.66,8.71,53.62,14.25,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0068821,-12.853473,38.419427,106.69,29.39,110.62,27.02,2016,0.1
